Game_ID,Result,Home,Away,Date,Won,Won_Points,Lost,Lost_Points,Home_Won
401267384,"LAC 115, SAC 96",LA Clippers,Sacramento Kings,20210120,,,,,
401267385,Postponed,Portland Trail Blazers,Memphis Grizzlies,20210120,,,,,
401267386,"LAL 113, MIL 106",Milwaukee Bucks,Los Angeles Lakers,20210121,Los Angeles Lakers,113,Milwaukee Bucks,106,No
401267387,"UTAH 129, NO 118",Utah Jazz,New Orleans Pelicans,20210121,Utah Jazz,129,New Orleans Pelicans,118,Yes
401267388,"NY 119, GS 104",Golden State Warriors,New York Knicks,20210121,New York Knicks,119,Golden State Warriors,104,No
401267403,"PHI 114, DET 110",Detroit Pistons,Philadelphia 76ers,20210123,Philadelphia 76ers,114,Detroit Pistons,110,No
401267404,"BKN 128, MIA 124",Brooklyn Nets,Miami Heat,20210123,Brooklyn Nets,128,Miami Heat,124,Yes
401267406,"MIN 120, NO 110",Minnesota Timberwolves,New Orleans Pelicans,20210123,Minnesota Timberwolves,120,New Orleans Pelicans,110,Yes
401267402,"UTAH 127, GS 108",Utah Jazz,Golden State Warriors,20210123,Utah Jazz,127,Golden State Warriors,108,Yes
401267405,"LAL 101, CHI 90",Chicago Bulls,Los Angeles Lakers,20210123,Los Angeles Lakers,101,Chicago Bulls,90,No
401267407,"HOU 133, DAL 108",Dallas Mavericks,Houston Rockets,20210123,Houston Rockets,133,Dallas Mavericks,108,No
401267408,"DEN 120, PHX 112 (2OT)",Phoenix Suns,Denver Nuggets,20210123,Denver Nuggets,120,Phoenix Suns,112,No
401267428,"ATL 108, LAC 99",Atlanta Hawks,LA Clippers,20210126,Atlanta Hawks,108,LA Clippers,99,Yes
401267429,"HOU 107, WSH 88",Houston Rockets,Washington Wizards,20210126,Houston Rockets,107,Washington Wizards,88,Yes
401267430,"UTAH 108, NY 94",Utah Jazz,New York Knicks,20210126,Utah Jazz,108,New York Knicks,94,Yes
401267447,"HOU 104, POR 101",Houston Rockets,Portland Trail Blazers,20210128,Houston Rockets,104,Portland Trail Blazers,101,Yes
401267444,"DET 107, LAL 92",Detroit Pistons,Los Angeles Lakers,20210128,Detroit Pistons,107,Los Angeles Lakers,92,Yes
401267445,"LAC 109, MIA 105",Miami Heat,LA Clippers,20210128,LA Clippers,109,Miami Heat,105,No
401267446,"PHX 114, GS 93",Phoenix Suns,Golden State Warriors,20210128,Phoenix Suns,114,Golden State Warriors,93,Yes
401267448,"CHA 108, IND 105",Charlotte Hornets,Indiana Pacers,20210129,Charlotte Hornets,108,Indiana Pacers,105,Yes
401267450,"ATL 116, WSH 100",Washington Wizards,Atlanta Hawks,20210129,Atlanta Hawks,116,Washington Wizards,100,No
401267451,"NY 102, CLE 81",New York Knicks,Cleveland Cavaliers,20210129,New York Knicks,102,Cleveland Cavaliers,81,Yes
401267452,"SAC 126, TOR 124",Toronto Raptors,Sacramento Kings,20210129,Sacramento Kings,126,Toronto Raptors,124,No
401267453,"NO 131, MIL 126",New Orleans Pelicans,Milwaukee Bucks,20210129,New Orleans Pelicans,131,Milwaukee Bucks,126,Yes
401267449,"LAC 116, ORL 90",Orlando Magic,LA Clippers,20210129,LA Clippers,116,Orlando Magic,90,No
401267454,"PHI 118, MIN 94",Minnesota Timberwolves,Philadelphia 76ers,20210129,Philadelphia 76ers,118,Minnesota Timberwolves,94,No
401267455,"BKN 147, OKC 125",Oklahoma City Thunder,Brooklyn Nets,20210129,Brooklyn Nets,147,Oklahoma City Thunder,125,No
401267456,"SA 119, DEN 109",San Antonio Spurs,Denver Nuggets,20210129,San Antonio Spurs,119,Denver Nuggets,109,Yes
401267457,"UTAH 120, DAL 101",Utah Jazz,Dallas Mavericks,20210129,Utah Jazz,120,Dallas Mavericks,101,Yes
401267458,"POR 123, CHI 122",Chicago Bulls,Portland Trail Blazers,20210130,Portland Trail Blazers,123,Chicago Bulls,122,No
401267459,"CHA 126, MIL 114",Charlotte Hornets,Milwaukee Bucks,20210130,Charlotte Hornets,126,Milwaukee Bucks,114,Yes
401267460,"HOU 126, NO 112",New Orleans Pelicans,Houston Rockets,20210130,Houston Rockets,126,New Orleans Pelicans,112,No
401267461,"MIA 105, SAC 104",Miami Heat,Sacramento Kings,20210130,Miami Heat,105,Sacramento Kings,104,Yes
401267462,"LAL 96, BOS 95",Boston Celtics,Los Angeles Lakers,20210130,Los Angeles Lakers,96,Boston Celtics,95,No
401267464,"MEM 129, SA 112",San Antonio Spurs,Memphis Grizzlies,20210130,Memphis Grizzlies,129,San Antonio Spurs,112,No
401267463,"PHX 111, DAL 105",Dallas Mavericks,Phoenix Suns,20210130,Phoenix Suns,111,Dallas Mavericks,105,No
